Country Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Least developed countries: UN classification,918462781.0,940480905.0,962708547.0,985618628.0,1009200438.0,1033320501.0,1058226906.0,1083853567.0,1109397229.0,1134811909.0,1161055545.0
Low income,563526633.0,577586377.0,592175402.0,607867476.0,624557000.0,642186195.0,660718366.0,679560744.0,698215206.0,716865783.0,736466395.0
Liechtenstein,36984.0,37248.0,37494.0,37716.0,37962.0,38246.0,38563.0,38901.0,39182.0,39493.0,39850.0
Sri Lanka,20585000.0,20778000.0,20970000.0,21209000.0,21444000.0,21670000.0,21803000.0,21919000.0,22156000.0,22181000.0,22037000.0
Lower middle income,2678274094.0,2721462079.0,2763351402.0,2804867052.0,2846133569.0,2886705488.0,2926690682.0,2966396717.0,3004162907.0,3041203717.0,3079778780.0
Low & middle income,5890623212.0,5971198210.0,6050054835.0,6128880430.0,6208763935.0,6287535115.0,6364581440.0,6438169878.0,6505838578.0,6568731934.0,6633109634.0
Lesotho,2056504.0,2080089.0,2104611.0,2130422.0,2157110.0,2183603.0,2209405.0,2235727.0,2261542.0,2286110.0,2311472.0
Late-demographic dividend,2225043647.0,2241185412.0,2256211695.0,2270944241.0,2285977089.0,2298520432.0,2309008599.0,2316785460.0,2320366261.0,2324072106.0,2326658047.0
Lithuania,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2801543.0,2794137.0,2794885.0,2800839.0,2831639.0,2871585.0
Luxembourg,543360.0,556319.0,569604.0,582014.0,596336.0,607950.0,620001.0,630419.0,640064.0,653103.0,666430.0
Latvia,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1927174.0,1913822.0,1900449.0,1884490.0,1879383.0,1877445.0
"Macao SAR, China",591900.0,621700.0,642900.0,652500.0,648400.0,658900.0,672000.0,685400.0,682500.0,677300.0,678800.0
St. Martin (French part),37419.0,37450.0,37369.0,37175.0,36837.0,36012.0,34267.0,31786.0,29961.0,28870.0,27515.0
Morocco,33787571.0,34204780.0,34607588.0,35023457.0,35446392.0,35839760.0,36210898.0,36584208.0,36954442.0,37329064.0,37712505.0
Monaco,35447.0,36128.0,36757.0,37276.0,37678.0,38154.0,38109.0,38050.0,38527.0,38931.0,38956.0
Moldova,2859558.0,2857815.0,2835978.0,2803186.0,2755189.0,2707203.0,2664224.0,2635130.0,2595809.0,2528654.0,2457783.0
Madagascar,24109290.0,24764348.0,25426702.0,26099952.0,26788375.0,27494926.0,28219554.0,28953556.0,29691083.0,30437261.0,31195932.0
Maldives,400070.0,413617.0,428154.0,443308.0,458287.0,473099.0,487731.0,502118.0,516154.0,524106.0,525994.0
Middle East & North Africa,424768481.0,433660485.0,443111159.0,452184895.0,459925735.0,466691130.0,474057593.0,482334398.0,488100624.0,498070255.0,508311359.0
Mexico,118343573.0,119784261.0,121072306.0,122251351.0,123400057.0,124573711.0,125762982.0,126799054.0,127648148.0,128613117.0,129739759.0
Marshall Islands,50681.0,49796.0,48800.0,47709.0,46529.0,45285.0,44007.0,42706.0,41367.0,40077.0,38827.0
Middle income,5327096579.0,5393611833.0,5457879433.0,5521012954.0,5584206935.0,5645348920.0,5703863074.0,5758609134.0,5807623372.0,5851866151.0,5896643239.0
North Macedonia,1922716.0,1917557.0,1912430.0,1906313.0,1898657.0,1889051.0,1876262.0,1856124.0,1837114.0,1831712.0,1827816.0
